UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,UMAP16,UMAP17,UMAP18,UMAP19,UMAP20,Response,cluster
7.844682,11.271557,0.55986446,5.3583508,7.083266,4.575898,5.4172482,5.9349813,5.5447097,4.6485767,4.885312,3.718661,4.1928926,5.254767,5.6282244,4.985733,5.6165957,5.047222,5.086719,5.6904697,0,0
7.618454,4.6233635,4.2797008,6.8263693,4.143068,2.2513034,3.6506672,4.1065726,5.762587,4.424878,5.3982024,3.9596179,4.6770887,5.0491724,4.41857,4.466958,5.2379456,4.803286,5.27284,6.2932034,0,3
7.810032,0.79549813,3.559593,1.2400634,5.4506655,5.8489795,4.523394,5.0682545,5.4399705,6.070313,5.503599,4.3618097,4.9762073,5.004856,4.597017,5.241924,5.0553803,4.8345437,5.4002576,6.03198,0,1
7.701692,5.4086146,4.527804,7.1293235,4.0428967,1.3770317,3.6821702,4.0056143,5.86455,4.462455,5.486124,3.8635187,4.5618415,5.162269,4.3087215,4.4441547,5.2988906,4.7595816,5.3280563,6.262316,0,3
7.9275775,5.4754868,4.230567,6.7988105,4.035035,1.1999594,3.6720717,3.777797,5.6139503,5.0330057,5.3449807,3.7588983,4.5186505,5.3373504,4.238624,4.408972,5.237973,5.0111628,5.4322968,6.2115226,1,3
7.797994,5.2646,4.2209864,7.117553,4.1652145,1.6690683,3.6039414,3.777096,5.6825824,4.7034473,5.3051457,3.7855008,4.5672765,5.242206,4.2907486,4.3119583,5.208167,5.03143,5.3723593,6.2568665,0,3
7.763229,3.2341256,4.1278315,5.8934007,3.8884685,1.723911,3.6209564,3.619916,6.014492,4.513913,5.3211417,3.9164777,5.1791964,5.1160216,3.9488263,4.220791,5.1248927,5.1792145,5.5955687,6.5814395,0,3
7.7600265,0.93519664,3.292996,1.4624752,5.7043023,6.3115673,4.4145064,5.058254,5.059295,6.0101027,5.4585996,4.446657,5.018619,4.709506,4.8157907,5.1401086,5.020162,4.789762,5.3826632,6.0900335,0,1
7.7379355,0.8071002,3.3174226,1.3888092,5.767783,6.6356025,4.2894335,5.075382,5.0269327,6.0203304,5.461076,4.4990463,4.993778,4.596982,4.840069,5.064346,5.013755,4.7780404,5.3692737,6.0935173,0,1
7.572502,4.856346,3.857625,9.139795,4.5628123,3.534939,3.1045983,3.7300274,5.708884,3.492491,5.3017263,4.0038557,4.694793,4.641113,4.3735304,3.8176775,5.0999002,4.793076,5.1992455,6.226104,0,3
